Rank,County,Population
1,Los Angeles County,10039107
2,San Diego County,3338330
3,Orange County,3175692
4,Riverside County,2470546
5,San Bernardino County,2180085
6,Santa Clara County,1927852
7,Alameda County,1671329
8,Sacramento County,1552058
9,Contra Costa County,1153526
10,Fresno County,999101
11,Kern County,900202
12,San Francisco County,881549
13,Ventura County,846006
14,San Mateo County,766573
15,San Joaquin County,762148
16,Stanislaus County,550660
17,Sonoma County,494336
18,Tulare County,466195
19,Solano County,447643
20,Santa Barbara County,446499
21,Monterey County,434061
22,Placer County,398329
23,San Luis Obispo County,283111
24,Merced County,277680
25,Santa Cruz County,273213
26,Marin County,258826
27,Yolo County,220500
28,Butte County,219186
29,El Dorado County,192843
30,Imperial County,181215
31,Shasta County,180080
32,Madera County,157327
33,Kings County,152940
34,Napa County,137744
35,Humboldt County,135558
36,Nevada County,99755
37,Sutter County,96971
38,Mendocino County,86749
39,Yuba County,78668
40,Tehama County,65084
41,Lake County,64386
42,San Benito County,62808
43,Tuolumne County,54478
44,Calaveras County,45905
45,Siskiyou County,43539
46,Amador County,39752
47,Lassen County,30573
48,Glenn County,28393
49,Del Norte County,27812
50,Colusa County,21547
51,Plumas County,18807
52,Inyo County,18039
53,Mariposa County,17203
54,Mono County,14444
55,Trinity County,12285
56,Modoc County,8841
57,Sierra County,3005
58,Alpine County,1129
